Title,Number,Type,Al,Ba,B,Bi,Dy,Er,Ga,Ge,K,Li,Na,Mg,P,Si,Ta,Ti,Y,Zn,Zr,Test,Pump,Result,,,,,,,
Absorption- Fluorescence and Optical Amplification in MCVD Bismuth-Doped Silica Glass Optical Fibres,1,F,1,N/A,N/A,0.002,N/A,N/A,N/A,9,N/A,N/A,N/A,N/A,2,88,N/A,N/A,N/A,N/A,N/A,A,N/A,720,820,1000,,,,,
Absorption- Fluorescence and Optical Amplification in MCVD Bismuth-Doped Silica Glass Optical Fibres,1,F,1,N/A,N/A,0.002,N/A,N/A,N/A,9,N/A,N/A,N/A,N/A,2,88,N/A,N/A,N/A,N/A,N/A,L,676,750,-100,1160,-200,,,,
Absorption- Fluorescence and Optical Amplification in MCVD Bismuth-Doped Silica Glass Optical Fibres,2,F,10,N/A,N/A,0.03,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,90,N/A,N/A,N/A,N/A,N/A,A,N/A,700,800,1000,,,,,
Absorption- Fluorescence and Optical Amplification in MCVD Bismuth-Doped Silica Glass Optical Fibres,2,F,10,N/A,N/A,0.03,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,90,N/A,N/A,N/A,N/A,N/A,L,676,750,-100,1060,-200,,,,
Anti-Stokes luminescence in Bismuth-doped silica and germania-based fibers,3,F,N/A,N/A,N/A,0.02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,100,N/A,N/A,N/A,N/A,N/A,A,??,,,,,,,,
Anti-Stokes luminescence in Bismuth-doped silica and germania-based fibers,4,F,N/A,N/A,N/A,0.02,N/A,N/A,N/A,100,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,,??,,,,,,,,
Bi-doped SiO as a new laser material for an intense laser,5,G,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,99,N/A,N/A,N/A,N/A,N/A,A,N/A,500,700,,,,,,
Bi-doped SiO as a new laser material for an intense laser,5,G,N/A,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,99,N/A,N/A,N/A,N/A,N/A,L,680,1132,-150,,,,,,
Bismuth and Erbium Co-doped Optical Fiber for a White Light Fiber Source,6,F,1.059322034,N/A,N/A,1.13,N/A,0.07,N/A,91.10169492,N/A,N/A,N/A,N/A,6.638418079,N/A,N/A,N/A,N/A,N/A,N/A,L,830,1200,1420,1530,,,,,
Bismuth and erbium codoped optical fiber with ultrabroadband luminescence across O-- E-- S-- C-- and L-bands,7,F,1.059322034,N/A,N/A,1.13,N/A,0.07,N/A,91.10169492,N/A,N/A,N/A,N/A,6.638418079,N/A,N/A,N/A,N/A,N/A,N/A,A,N/A,517,652,717,866,976,1090,1530,
Bismuth and erbium codoped optical fiber with ultrabroadband luminescence across O-- E-- S-- C-- and L-bands,7,F,1.059322034,N/A,N/A,1.13,N/A,0.07,N/A,91.10169492,N/A,N/A,N/A,N/A,6.638418079,N/A,N/A,N/A,N/A,N/A,N/A,L,532,1130,-210,1537,-30,,,,
Bismuth and erbium codoped optical fiber with ultrabroadband luminescence across O-- E-- S-- C-- and L-bands,7,F,1.059322034,N/A,N/A,1.13,N/A,0.07,N/A,91.10169492,N/A,N/A,N/A,N/A,6.638418079,N/A,N/A,N/A,N/A,N/A,N/A,L,808,1400,-190,1536,-33,,,,
Bismuth and erbium codoped optical fiber with ultrabroadband luminescence across O-- E-- S-- C-- and L-bands,7,F,1.059322034,N/A,N/A,1.13,N/A,0.07,N/A,91.10169492,N/A,N/A,N/A,N/A,6.638418079,N/A,N/A,N/A,N/A,N/A,N/A,L,980,1130,1530,,,,,,
BISMUTH OXIDE AND BISMUTH OXIDE DOPED GLASSES FOR OPTICAL AND PHOTONIC APPLICATIONS,8,G,N/A,,Y,Y,N/A,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,A,N/A,400,490,,,,,,
Bismuth- and aluminum-codoped germanium oxide glasses for super-broadband optical amplification,9,G,3,N/A,N/A,1,N/A,N/A,N/A,96,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,A,N/A,370,500,700,800,1000,,,
Bismuth- and aluminum-codoped germanium oxide glasses for super-broadband optical amplification,9,G,3,N/A,N/A,1,N/A,N/A,N/A,96,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,L,808,1200,-148,1300,-128,1450,-170,1600,-94
Bismuth-activated luminescent materials for broadband optical amplifier in WDM system,10,G,14,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,14,N/A,N/A,N/A,75,N/A,N/A,N/A,N/A,N/A,A,N/A,590,700,,,,,,
Bismuth-activated luminescent materials for broadband optical amplifier in WDM system,10,G,14,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,14,N/A,N/A,N/A,75,N/A,N/A,N/A,N/A,N/A,L,808,1265,-318,,,,,,
Bismuth-activated luminescent materials for broadband optical amplifier in WDM system,11,G,,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,N/A,75,14,N/A,N/A,N/A,N/A,A,N/A,510,700,,,,,,
Bismuth-activated luminescent materials for broadband optical amplifier in WDM system,11,G,,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,N/A,75,14,N/A,N/A,N/A,N/A,L,808,1300,-268,,,,,,
Bismuth-activated luminescent materials for broadband optical amplifier in WDM system,12,G,14,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,75,N/A,N/A,N/A,N/A,N/A,A,N/A,480,700,,,,,,
Bismuth-activated luminescent materials for broadband optical amplifier in WDM system,12,G,14,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,10,N/A,N/A,75,N/A,N/A,N/A,N/A,N/A,L,808,1310,-360,,,,,,
Bismuth-activated luminescent materials for broadband optical amplifier in WDM system,13,G,10,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,35,N/A,N/A,54,N/A,N/A,N/A,N/A,N/A,,N/A,,,,,,,,
Bismuth-activated luminescent materials for broadband optical amplifier in WDM system,14,G,5,N/A,N/A,1,N/A,N/A,N/A,94,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,A,N/A,500,700,800,,,,,
Bismuth-activated luminescent materials for broadband optical amplifier in WDM system,14,G,5,N/A,N/A,1,N/A,N/A,N/A,94,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,L,808,1300,-312,,,,,,
Bismuth-Doped Silica Glass as a New Laser Material,15,F,7,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,92,N/A,N/A,N/A,N/A,N/A,A,N/A,300,500,700,800,,,,
Bismuth-Doped Silica Glass as a New Laser Material,15,F,7,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,92,N/A,N/A,N/A,N/A,N/A,L,800,1250,-300,,,,,,
Bismuth-doped zinc aluminosilicate glasses and glass-ceramics with ultra-broadband infrared luminescence,16,G,26.2,0.9,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,57.3,N/A,4,N/A,10.6,N/A,A,N/A,500,700,800,,,,,
Bismuth-doped zinc aluminosilicate glasses and glass-ceramics with ultra-broadband infrared luminescence,16,G,26.2,0.9,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,57.3,N/A,N/A,N/A,N/A,N/A,L,808,1260,-286,,,,,,
Bismuth-doped zinc aluminosilicate glasses and glass-ceramics with ultra-broadband infrared luminescence,17,G,22.9,0.9,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.8,N/A,59.4,N/A,3.9,N/A,6.8,1.5,A,N/A,500,700,800,,,,,
Bismuth-doped zinc aluminosilicate glasses and glass-ceramics with ultra-broadband infrared luminescence,17,G,22.9,0.9,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.8,N/A,59.4,N/A,N/A,N/A,N/A,N/A,L,808,1260,-286,,,,,,
Bismuth-doped zinc aluminosilicate glasses and glass-ceramics with ultra-broadband infrared luminescence,18,G,10,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,30,N/A,N/A,59,N/A,N/A,N/A,N/A,N/A,L,N/A,,,,,,,,
Broadband near-infrared emission from Bi-doped aluminosilicate glasses,19,G,25,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,15,N/A,N/A,59,N/A,N/A,N/A,N/A,N/A,A,N/A,475,,,,,,,
Broadband near-infrared emission from Bi-doped aluminosilicate glasses,19,G,25,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,15,N/A,N/A,59,N/A,N/A,N/A,N/A,N/A,L,980,1200,-370,,,,,,
Broadband near-infrared emission from Bi-doped aluminosilicate glasses,19,G,25,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,15,N/A,N/A,59,N/A,N/A,N/A,N/A,N/A,L,808,1300,-370,1620,,,,,
Broadband near-infrared emission from Bi-doped aluminosilicate glasses,19,G,25,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,15,N/A,N/A,59,N/A,N/A,N/A,N/A,N/A,L,532,1200,-370,,,,,,
Broadband near-infrared emission from Bi-doped aluminosilicate glasses,20,G,25,N/A,N/A,1,N/A,N/A,N/A,N/A,15,N/A,N/A,N/A,N/A,59,N/A,N/A,N/A,N/A,N/A,A,N/A,475,700,,,,,,
Broadband near-infrared emission from Bi-doped aluminosilicate glasses,20,G,25,N/A,N/A,1,N/A,N/A,N/A,N/A,15,N/A,N/A,N/A,N/A,59,N/A,N/A,N/A,N/A,N/A,L,980,1200,-370,,,,,,
Broadband near-infrared emission from Bi-doped aluminosilicate glasses,20,G,25,N/A,N/A,1,N/A,N/A,N/A,N/A,15,N/A,N/A,N/A,N/A,59,N/A,N/A,N/A,N/A,N/A,L,808,1300,-370,1620,1050,,,,
Broadband near-infrared emission from Bi-doped aluminosilicate glasses,20,G,25,N/A,N/A,1,N/A,N/A,N/A,N/A,15,N/A,N/A,N/A,N/A,59,N/A,N/A,N/A,N/A,N/A,L,532,1200,-370,,,,,,
Broadband optical amplification in Bi-doped germanium silicate glass,21,G,3,N/A,N/A,0.5,N/A,N/A,N/A,96.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,A,N/A,700,800,1000,,,,,
Broadband optical amplification in Bi-doped germanium silicate glass,21,G,3,N/A,N/A,0.5,N/A,N/A,N/A,96.5,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,L,980,1110,-332,,,,,,
Broadband optical amplification in Bi-doped germanium silicate glass,22,G,3,N/A,N/A,0.5,N/A,N/A,N/A,79.5,N/A,N/A,N/A,N/A,N/A,17,N/A,N/A,N/A,N/A,N/A,A,N/A,700,800,1000,,,,,
Broadband optical amplification in Bi-doped germanium silicate glass,22,G,3,N/A,N/A,0.5,N/A,N/A,N/A,79.5,N/A,N/A,N/A,N/A,N/A,17,N/A,N/A,N/A,N/A,N/A,L,980,1160,-390,,,,,,
Broadband optical amplification near 1300 nm in bismuth-doped germanate glass,23,G,10,N/A,N/A,1,N/A,N/A,N/A,79,N/A,N/A,N/A,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,A,N/A,700,810,980,1250,1600,,,
Broadband optical amplification near 1300 nm in bismuth-doped germanate glass,23,G,10,N/A,N/A,1,N/A,N/A,N/A,79,N/A,N/A,N/A,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,L,808,1290,-345,,,,,,
Broadband optical amplification near 1300 nm in bismuth-doped germanate glass,23,G,10,N/A,N/A,1,N/A,N/A,N/A,79,N/A,N/A,N/A,10,N/A,N/A,N/A,N/A,N/A,N/A,N/A,L,980,1155,-430,,,,,,
Combined excitation-emission spectroscopy of bismuth active centers in optical fibers,24,F,N/A,N/A,N/A,0.02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,99.98,N/A,N/A,N/A,N/A,N/A,A,N/A,420,480,823,1415,,,,
Combined excitation-emission spectroscopy of bismuth active centers in optical fibers,24,F,N/A,N/A,N/A,0.02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,99.98,N/A,N/A,N/A,N/A,N/A,L,420,827,1430,,,,,,
Combined excitation-emission spectroscopy of bismuth active centers in optical fibers,24,F,N/A,N/A,N/A,0.02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,99.98,N/A,N/A,N/A,N/A,N/A,L,480,590,,,,,,,
Combined excitation-emission spectroscopy of bismuth active centers in optical fibers,24,F,N/A,N/A,N/A,0.02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,99.98,N/A,N/A,N/A,N/A,N/A,L,823,827,1430,,,,,,
Combined excitation-emission spectroscopy of bismuth active centers in optical fibers,24,F,N/A,N/A,N/A,0.02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,99.98,N/A,N/A,N/A,N/A,N/A,L,1415,1430,,,,,,,
Combined excitation-emission spectroscopy of bismuth active centers in optical fibers,25,F,N/A,N/A,N/A,0.02,N/A,N/A,N/A,99.98,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,A,N/A,450,463,735,815,925,1390,,
Combined excitation-emission spectroscopy of bismuth active centers in optical fibers,25,F,N/A,N/A,N/A,0.02,N/A,N/A,N/A,99.98,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,L,450,830,,,,,,,
Combined excitation-emission spectroscopy of bismuth active centers in optical fibers,25,F,N/A,N/A,N/A,0.02,N/A,N/A,N/A,99.98,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,L,463,955,1670,,,,,,
Combined excitation-emission spectroscopy of bismuth active centers in optical fibers,25,F,N/A,N/A,N/A,0.02,N/A,N/A,N/A,99.98,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,L,735,1205,,,,,,,
Combined excitation-emission spectroscopy of bismuth active centers in optical fibers,25,F,N/A,N/A,N/A,0.02,N/A,N/A,N/A,99.98,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,L,815,830,,,,,,,
Combined excitation-emission spectroscopy of bismuth active centers in optical fibers,25,F,N/A,N/A,N/A,0.02,N/A,N/A,N/A,99.98,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,L,925,955,1670,,,,,,
Combined excitation-emission spectroscopy of bismuth active centers in optical fibers,25,F,N/A,N/A,N/A,0.02,N/A,N/A,N/A,99.98,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,L,1390,1410,,,,,,,
Combined excitation-emission spectroscopy of bismuth active centers in optical fibers,26,F,3,N/A,N/A,0.02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,96.98,N/A,N/A,N/A,N/A,N/A,A,N/A,510,620,705,770,1010,,,
Combined excitation-emission spectroscopy of bismuth active centers in optical fibers,26,F,3,N/A,N/A,0.02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,96.98,N/A,N/A,N/A,N/A,N/A,L,510,1100,,,,,,,
Combined excitation-emission spectroscopy of bismuth active centers in optical fibers,26,F,3,N/A,N/A,0.02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,96.98,N/A,N/A,N/A,N/A,N/A,L,620,745,,,,,,,
Combined excitation-emission spectroscopy of bismuth active centers in optical fibers,26,F,3,N/A,N/A,0.02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,96.98,N/A,N/A,N/A,N/A,N/A,L,705,1130,,,,,,,
Combined excitation-emission spectroscopy of bismuth active centers in optical fibers,26,F,3,N/A,N/A,0.02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,96.98,N/A,N/A,N/A,N/A,N/A,L,770,815,,,,,,,
Combined excitation-emission spectroscopy of bismuth active centers in optical fibers,26,F,3,N/A,N/A,0.02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,96.98,N/A,N/A,N/A,N/A,N/A,L,1010,1120,,,,,,,
Combined excitation-emission spectroscopy of bismuth active centers in optical fibers,27,F,N/A,N/A,N/A,0.02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,90,N/A,N/A,N/A,N/A,N/A,A,N/A,450,460,523,750,785,815,1065,
Combined excitation-emission spectroscopy of bismuth active centers in optical fibers,27,F,N/A,N/A,N/A,0.02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,90,N/A,N/A,N/A,N/A,N/A,L,450,825,,,,,,,
Combined excitation-emission spectroscopy of bismuth active centers in optical fibers,27,F,N/A,N/A,N/A,0.02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,90,N/A,N/A,N/A,N/A,N/A,L,460,1245,,,,,,,
Combined excitation-emission spectroscopy of bismuth active centers in optical fibers,27,F,N/A,N/A,N/A,0.02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,90,N/A,N/A,N/A,N/A,N/A,L,523,760,,,,,,,
Combined excitation-emission spectroscopy of bismuth active centers in optical fibers,27,F,N/A,N/A,N/A,0.02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,90,N/A,N/A,N/A,N/A,N/A,L,750,1250,,,,,,,
Combined excitation-emission spectroscopy of bismuth active centers in optical fibers,27,F,N/A,N/A,N/A,0.02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,90,N/A,N/A,N/A,N/A,N/A,L,815,824,,,,,,,
Combined excitation-emission spectroscopy of bismuth active centers in optical fibers,27,F,N/A,N/A,N/A,0.02,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,10,90,N/A,N/A,N/A,N/A,N/A,L,1065,1195,,,,,,,
Effect of GeO2 additive on fluorescence intensity enhancement in bismuth-doped silica glass,28,G,7,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,91.8,N/A,N/A,0.2,N/A,N/A,A,N/A,500,690,,,,,,
Effect of GeO2 additive on fluorescence intensity enhancement in bismuth-doped silica glass,28,G,7,N/A,N/A,1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,91.8,N/A,N/A,0.2,N/A,N/A,L,800,1250,,,,,,,
Effects of Melting Temperature on the Broadband Infrared Luminescence of Bi-Doped and Bi_Dy Co-Doped Chalcohalide Glasses,29,G,N/A,N/A,N/A,0.5,N/A,N/A,9.5,70,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,A,N/A,1925,,,,,,,
Effects of Melting Temperature on the Broadband Infrared Luminescence of Bi-Doped and Bi_Dy Co-Doped Chalcohalide Glasses,29,G,N/A,N/A,N/A,0.5,N/A,N/A,9.5,70,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,L,808,1230,,,,,,,
Effects of Melting Temperature on the Broadband Infrared Luminescence of Bi-Doped and Bi_Dy Co-Doped Chalcohalide Glasses,30,G,N/A,N/A,N/A,0.5,0.1,N/A,9.5,70,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,A,N/A,1292,1925,,,,,,
Effects of Melting Temperature on the Broadband Infrared Luminescence of Bi-Doped and Bi_Dy Co-Doped Chalcohalide Glasses,30,G,N/A,N/A,N/A,0.5,0.1,N/A,9.5,70,20,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,L,808,1230,1310,,,,,,
Efficient all-fiber bismuth-doped laser,31,G,Y,N/A,N/A,0.1,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Y,Y,N/A,N/A,N/A,N/A,N/A,A,N/A,500,700,800,1000,,,,
Efficient all-fiber bismuth-doped laser,31,G,Y,N/A,N/A,0.1,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,Y,Y,N/A,N/A,N/A,N/A,N/A,L,830,1200,-380,,,,,,
Efficient all-fiber bismuth-doped laser,31,G,Y,N/A,N/A,0.1,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,Y,Y,N/A,N/A,N/A,N/A,N/A,L,765,1220,,,,,,,
Efficient all-fiber bismuth-doped laser,31,G,Y,N/A,N/A,0.1,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,Y,Y,N/A,N/A,N/A,N/A,N/A,L,860,1070,,,,,,,
Efficient all-fiber bismuth-doped laser,31,G,Y,N/A,N/A,0.1,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,Y,Y,N/A,N/A,N/A,N/A,N/A,L,910,1100,,,,,,,
Efficient all-fiber bismuth-doped laser,31,G,Y,N/A,N/A,0.1,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,Y,Y,N/A,N/A,N/A,N/A,N/A,L,1064,1150,,,,,,,
Efficient all-fiber bismuth-doped laser,32,F,Y,N/A,N/A,0.1,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,Y,Y,N/A,N/A,N/A,N/A,N/A,L,737,1140,,,,,,,
Efficient all-fiber bismuth-doped laser,32,F,Y,N/A,N/A,0.1,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,Y,Y,N/A,N/A,N/A,N/A,N/A,L,827,1100,1420,,,,,,
Efficient all-fiber bismuth-doped laser,32,F,Y,N/A,N/A,0.1,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,Y,Y,N/A,N/A,N/A,N/A,N/A,L,883,1100,,,,,,,
Efficient all-fiber bismuth-doped laser,32,F,Y,N/A,N/A,0.1,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,Y,Y,N/A,N/A,N/A,N/A,N/A,L,939,1100,,,,,,,
Efficient all-fiber bismuth-doped laser,32,F,Y,N/A,N/A,0.1,N/A,N/A,N/A,Y,N/A,N/A,N/A,N/A,Y,Y,N/A,N/A,N/A,N/A,N/A,L,1005,1100,,,,,,,
